T, x, y
110.5,0,0
110.458,0.001,0.00232056
110.5,0,0
110.458,0.001,0.00232056
110.411,0.002,0.00463579
110.365,0.003,0.00694571
110.318,0.004,0.00925033
110.226,0.006,0.0138437
110.134,0.008,0.0184161
110.041,0.01,0.0229676
109.583,0.02,0.0454154
109.13,0.03,0.0673577
108.681,0.04,0.0888082
107.796,0.06,0.130287
106.929,0.08,0.169954
106.079,0.1,0.207905
104.025,0.15,0.295857
102.068,0.2,0.374907
100.201,0.25,0.44615
98.4185,0.3,0.510525
96.7154,0.35,0.568846
95.0865,0.4,0.621814
93.5271,0.45,0.670038
92.0327,0.5,0.714046
90.5995,0.55,0.754297
89.2235,0.6,0.791193
87.9014,0.65,0.825085
86.63,0.7,0.856282
85.4063,0.75,0.885054
84.2275,0.8,0.911639
83.0911,0.85,0.93625
81.9947,0.9,0.959073
81.5668,0.92,0.967739
81.1449,0.94,0.976156
80.7287,0.96,0.984332
80.5228,0.97,0.988333
80.3182,0.98,0.992278
80.115,0.99,0.996166
80.0745,0.992,0.996937
80.0341,0.994,0.997706
79.9938,0.996,0.998473
79.9736,0.997,0.998856
79.9535,0.998,0.999238
79.9333,0.999,0.999619
79.9078,1,1
