T,Cvc,Cvb
0.01,75.981,76.026
10.0,75.505,75.586
20.0,74.893,75.386
25.0,74.548,75.336
30.0,74.181,75.309
40.0,73.392,75.3
50.0,72.54,75.334
60.0,71.644,75.399
70.0,70.716,75.491
80.0,69.774,75.611
90.0,68.828,75.763
100.0,67.888,75.95
110.0,66.96,76.177
120.0,66.05,76.451
140.0,64.306,77.155
160.0,62.674,78.107
180.0,61.163,79.36
200.0,59.775,80.996
220.0,58.514,83.137
240.0,57.381,85.971
260.0,56.392,89.821
280.0,55.578,95.285
300.0,55.003,103.6
320.0,54.819,117.78
340.0,55.455,147.88
360.0,59.402,270.31
