Temperature (K)	Pressure (atm)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
273.16	0.0060366	4,85E-02	2,06E+09	2374.9	2500.9	91.555	14.184	18.844	409.00	108.09	89.458	0.016761	vapor
273.78	0.0063155	5,07E-02	1,97E+09	2375.8	2502.1	91.388	14.189	18.850	409.45	105.96	89.636	0.016801	vapor
274.41	0.0066058	5,29E-02	1,89E+09	2376.6	2503.2	91.223	14.194	18.856	409.90	103.88	89.815	0.016841	vapor
275.03	0.0069078	5,52E-02	1,81E+09	2377.5	2504.3	91.058	14.199	18.862	410.35	101.84	89.995	0.016881	vapor
275.65	0.0072220	5,76E-02	1,74E+09	2378.4	2505.5	90.895	14.205	18.868	410.80	99.839	90.175	0.016921	vapor
276.28	0.0075488	6,00E-02	1,67E+09	2379.2	2506.6	90.732	14.210	18.875	411.25	97.884	90.356	0.016961	vapor
276.90	0.0078887	6,26E-02	1,60E+09	2380.1	2507.8	90.570	14.215	18.881	411.70	95.970	90.537	0.017002	vapor
277.52	0.0082419	6,52E-02	1,53E+09	2380.9	2508.9	90.409	14.220	18.888	412.15	94.098	90.719	0.017042	vapor
278.15	0.0086091	6,80E-02	1,47E+09	2381.8	2510.1	90.249	14.226	18.894	412.60	92.265	90.901	0.017083	vapor
278.77	0.0089907	7,09E-02	1,41E+09	2382.6	2511.2	90.090	14.231	18.901	413.04	90.472	91.084	0.017124	vapor
279.39	0.0093871	7,38E-02	1,35E+09	2383.5	2512.3	89.932	14.236	18.907	413.49	88.718	91.267	0.017164	vapor
280.02	0.0097989	7,69E-02	1,30E+09	2384.3	2513.5	89.775	14.242	18.914	413.94	87.002	91.451	0.017205	vapor
280.64	0.010227	8,01E-02	1,25E+09	2385.2	2514.6	89.619	14.247	18.920	414.38	85.323	91.636	0.017246	vapor
281.26	0.010671	8,34E-02	1,20E+09	2386.1	2515.8	89.463	14.253	18.927	414.82	83.681	91.821	0.017287	vapor
281.89	0.011132	8,68E-02	1,15E+09	2386.9	2516.9	89.309	14.258	18.933	415.27	82.075	92.006	0.017328	vapor
282.51	0.011610	9,03E-02	1,11E+09	2387.8	2518.0	89.155	14.264	18.940	415.71	80.504	92.192	0.017370	vapor
283.13	0.012106	9,40E-02	1,06E+09	2388.6	2519.2	89.002	14.269	18.947	416.15	78.967	92.379	0.017411	vapor
283.75	0.012622	9,77E-02	1,02E+09	2389.5	2520.3	88.850	14.274	18.954	416.60	77.465	92.566	0.017452	vapor
284.38	0.013156	1,02E-01	98365.	2390.3	2521.5	88.699	14.280	18.960	417.04	75.995	92.753	0.017494	vapor
285.00	0.013710	1,06E-01	94594.	2391.2	2522.6	88.549	14.285	18.967	417.48	74.558	92.941	0.017535	vapor
285.62	0.014284	1,10E-01	90986.	2392.0	2523.7	88.399	14.291	18.974	417.92	73.153	93.130	0.017577	vapor
286.25	0.014880	1,14E-01	87533.	2392.9	2524.9	88.251	14.297	18.981	418.36	71.780	93.319	0.017619	vapor
286.87	0.015497	1,19E-01	84227.	2393.7	2526.0	88.103	14.302	18.988	418.79	70.437	93.508	0.017661	vapor
287.49	0.016137	1,23E-01	81062.	2394.6	2527.1	87.956	14.308	18.995	419.23	69.124	93.698	0.017703	vapor
288.12	0.016800	1,28E-01	78030.	2395.4	2528.3	87.810	14.313	19.002	419.67	67.840	93.888	0.017745	vapor
288.74	0.017486	1,33E-01	75127.	2396.3	2529.4	87.665	14.319	19.009	420.11	66.585	94.079	0.017787	vapor
289.36	0.018197	1,38E-01	72345.	2397.2	2530.5	87.520	14.324	19.016	420.54	65.359	94.270	0.017829	vapor
