Temperature (K)	Pressure (atm)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Surf. Tension (N/m)	Phase
273.16	0.0060366	0.99979	10.002	-8,42E-07	0.00061178	-2,95E-09	42.174	42.199	1402.3	-0.044032	1791.4	0.55560	0.075646	liquid
273.78	0.0063155	0.99983	10.002	26.293	26.299	0.0096145	42.161	42.178	1405.4	-0.043921	1753.1	0.55718	0.075559	liquid
274.41	0.0066058	0.99986	10.001	52.573	52.580	0.019202	42.146	42.158	1408.5	-0.043811	1716.2	0.55875	0.075472	liquid
275.03	0.0069078	0.99989	10.001	78.841	78.848	0.028764	42.132	42.139	1411.5	-0.043703	1680.5	0.56029	0.075384	liquid
275.65	0.0072221	0.99991	10.001	10.510	10.510	0.038300	42.117	42.120	1414.5	-0.043597	1645.9	0.56182	0.075296	liquid
276.28	0.0075488	0.99992	10.001	13.134	13.135	0.047810	42.102	42.103	1417.4	-0.043491	1612.5	0.56332	0.075208	liquid
276.90	0.0078887	0.99992	10.001	15.758	15.758	0.057295	42.086	42.086	1420.3	-0.043387	1580.2	0.56480	0.075120	liquid
277.52	0.0082419	0.99992	10.001	18.380	18.381	0.066755	42.070	42.070	1423.2	-0.043285	1548.8	0.56627	0.075031	liquid
278.15	0.0086091	0.99992	10.001	21.001	21.002	0.076191	42.053	42.055	1426.0	-0.043183	1518.5	0.56771	0.074942	liquid
278.77	0.0089907	0.99990	10.001	23.622	23.623	0.085601	42.037	42.040	1428.8	-0.043082	1489.1	0.56914	0.074853	liquid
279.39	0.0093871	0.99989	10.001	26.242	26.243	0.094988	42.020	42.026	1431.5	-0.042983	1460.6	0.57055	0.074764	liquid
280.02	0.0097989	0.99986	10.001	28.860	28.861	0.10435	42.002	42.013	1434.2	-0.042885	1433.0	0.57195	0.074675	liquid
280.64	0.010227	0.99983	10.002	31.478	31.479	0.11369	41.984	42.001	1436.8	-0.042788	1406.2	0.57332	0.074585	liquid
281.26	0.010671	0.99980	10.002	34.096	34.097	0.12301	41.966	41.989	1439.4	-0.042692	1380.2	0.57468	0.074495	liquid
281.89	0.011132	0.99975	10.002	36.712	36.713	0.13230	41.948	41.977	1442.0	-0.042597	1355.0	0.57603	0.074405	liquid
282.51	0.011610	0.99971	10.003	39.328	39.329	0.14157	41.929	41.966	1444.5	-0.042502	1330.5	0.57736	0.074314	liquid
283.13	0.012106	0.99966	10.003	41.943	41.944	0.15081	41.910	41.956	1447.0	-0.042409	1306.7	0.57867	0.074224	liquid
283.75	0.012622	0.99960	10.004	44.557	44.559	0.16004	41.891	41.946	1449.5	-0.042317	1283.6	0.57997	0.074133	liquid
284.38	0.013156	0.99954	10.005	47.171	47.173	0.16924	41.872	41.936	1451.9	-0.042226	1261.1	0.58126	0.074042	liquid
285.00	0.013710	0.99947	10.005	49.785	49.786	0.17842	41.852	41.927	1454.3	-0.042135	1239.2	0.58253	0.073951	liquid
285.62	0.014284	0.99940	10.006	52.397	52.399	0.18758	41.832	41.919	1456.6	-0.042045	1218.0	0.58378	0.073859	liquid
286.25	0.014880	0.99932	10.007	55.010	55.011	0.19671	41.812	41.911	1458.9	-0.041957	1197.3	0.58503	0.073767	liquid
286.87	0.015497	0.99924	10.008	57.621	57.623	0.20583	41.791	41.903	1461.2	-0.041869	1177.2	0.58626	0.073675	liquid
287.49	0.016137	0.99915	10.008	60.233	60.234	0.21492	41.770	41.895	1463.5	-0.041781	1157.7	0.58747	0.073583	liquid
288.12	0.016800	0.99906	10.009	62.843	62.845	0.22399	41.749	41.888	1465.7	-0.041695	1138.6	0.58868	0.073491	liquid
288.74	0.017486	0.99897	10.010	65.454	65.456	0.23304	41.728	41.882	1467.8	-0.041609	1120.1	0.58987	0.073398	liquid
289.36	0.018197	0.99886	10.011	68.064	68.066	0.24207	41.706	41.875	1470.0	-0.041524	1102.0	0.59105	0.073305	liquid
289.99	0.018933	0.99876	10.012	70.673	70.675	0.25108	41.684	41.869	1472.0	-0.041440	1084.4	0.59221	0.073212	liquid
290.61	0.019696	0.99865	10.014	73.283	73.285	0.26007	41.662	41.864	1474.1	-0.041356	1067.2	0.59337	0.073119	liquid
291.23	0.020485	0.99854	10.015	75.891	75.894	0.26903	41.640	41.858	1476.1	-0.041273	1050.5	0.59451	0.073025	liquid
291.86	0.021301	0.99842	10.016	78.500	78.502	0.27798	41.618	41.853	1478.1	-0.041191	1034.2	0.59564	0.072931	liquid
292.48	0.022146	0.99830	10.017	81.108	81.110	0.28691	41.595	41.848	1480.1	-0.041109	1018.3	0.59676	0.072837	liquid
293.10	0.023021	0.99817	10.018	83.716	83.719	0.29582	41.572	41.844	1482.0	-0.041028	1002.8	0.59787	0.072743	liquid
293.73	0.023925	0.99804	10.020	86.324	86.326	0.30470	41.549	41.840	1483.9	-0.040948	987.64	0.59897	0.072649	liquid
294.35	0.024860	0.99791	10.021	88.931	88.934	0.31357	41.526	41.836	1485.8	-0.040868	972.87	0.60006	0.072554	liquid
294.97	0.025827	0.99777	10.022	91.538	91.541	0.32242	41.502	41.832	1487.6	-0.040789	958.45	0.60113	0.072459	liquid
295.60	0.026827	0.99763	10.024	94.145	94.148	0.33125	41.478	41.828	1489.5	-0.040710	944.38	0.60220	0.072364	liquid
