Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
273.160000000	0.000611654771187	55.4969551400	0.0180190065829	-1.51692664420e-12	1.10214098316e-05	-5.31694455349e-12	75.9781645153	76.0228369038	1402.27205361	-0.241421347697	1791.35785215	0.555598539493	0.0756462711037	0.000269470080866	3710.98712253	42.7848144409	45.0546574195	164.938667441	25.5525622776	33.9471068658	408.999523029	592.646820728	8.94578146418	0.0167605763254
273.783226667	0.000639917458566	55.4991117249	0.0180183064002	0.0473675073963	0.0473790376252	0.173208222198	75.9534116687	75.9847526515	1405.39172928	-0.240813699906	1753.12292654	0.557184726621	0.0755590812387	0.000281284392992	3555.12081336	42.8002710856	45.0752545858	164.638636205	25.5618456851	33.9582382262	409.451505239	580.974485385	8.96362114216	0.0168005791843
274.406453333	0.000669331171526	55.5008840402	0.0180177310199	0.0947118294293	0.0947238892583	0.345938020192	75.9279119032	75.9484221298	1408.46600600	-0.240213936709	1716.17728843	0.558749263181	0.0754716607939	0.000293550459224	3406.56935998	42.8157241720	45.0958471226	164.340343715	25.5711762719	33.9694420693	409.902829493	569.546448109	8.98151950117	0.0168406679764
275.029680000	0.000699936448374	55.5022801971	0.0180172777848	0.142034032128	0.142046643077	0.518195445205	75.9016862013	75.9137601048	1411.49544980	-0.239621819520	1680.46235539	0.560292748189	0.0753840100449	0.000306282831071	3264.95610773	42.8311736406	45.1164349482	164.043776776	25.5805523872	33.9807168922	410.353498673	558.358657097	8.99947584671	0.0168808427725
275.652906667	0.000731774346293	55.5033079976	0.0180169441440	0.189335130073	0.189348314411	0.689986320510	75.8747546354	75.8806866476	1414.48061629	-0.239037117964	1645.92285141	0.561815755151	0.0752961292678	0.000319496430954	3129.92541736	42.8466194307	45.1370179793	163.748922315	25.5899724250	33.9920612458	410.803515573	547.407074243	9.01748949353	0.0169211036492
276.276133333	0.000764887096805	55.5039749507	0.0180167276468	0.236616089575	0.236629870338	0.861316255015	75.8471363990	75.8491267159	1417.42205062	-0.238459609677	1612.50658615	0.563318833312	0.0752080187395	0.000333206558665	3001.14140612	42.8620614808	45.1575961315	163.455767390	25.5994348265	34.0034737385	411.252882898	536.687677159	9.03555976536	0.0169614506888
276.899360000	0.000799319090768	55.5042882868	0.0180166259377	0.283877831589	0.283892232622	1.03219065573	75.8188498383	75.8190097756	1420.32028744	-0.237889080082	1580.16425127	0.564802508835	0.0751196787371	0.000347428897890	2878.28676910	42.8774997285	45.1781693188	163.164299181	25.6089380838	34.0149530390	411.701603254	526.196461183	9.05368599475	0.0170018839794
277.522586667	0.000835114827467	55.5042549722	0.0180166367516	0.331121234425	0.331136280386	1.20261473935	75.7899124846	75.7902694548	1423.17585094	-0.237325322161	1548.84923202	0.566267285908	0.0750311095386	0.000362179522754	2761.06167570	42.8929341101	45.1987374541	162.874504990	25.6184807422	34.0264978801	412.149679146	515.929441325	9.07186752281	0.0170424036152
278.145813333	0.000872320297669	55.5038817219	0.0180167579091	0.378347136238	0.378362852621	1.37259354294	75.7603410862	75.7628432301	1425.98925501	-0.236768136220	1518.51743316	0.567713647792	0.0749423114225	0.000377474904399	2649.18273598	42.9083645611	45.2193004484	162.586372238	25.6280614032	34.0381070616	412.597112977	505.882654174	9.09010369907	0.0170830096968
278.769040000	0.000910983021623	55.5031750119	0.0180169873126	0.425556337331	0.425572750501	1.54213193383	75.7301516414	75.7366721400	1428.76100332	-0.236217329641	1489.12711764	0.569142057812	0.0748532846677	0.000393331917611	2542.38203214	42.9237910157	45.2398582118	162.299888467	25.6376787267	34.0497794529	413.043907040	496.052159759	9.10839388123	0.0171237023310
279.392266667	0.000951151758408	55.5021410909	0.0180173229419	0.472749602300	0.472766739508	1.71123461876	75.6993594301	75.7117005247	1431.49158954	-0.235672716646	1460.63875728	0.570552960294	0.0747640295538	0.000409767847464	2440.40621095	42.9392134074	45.2604106525	162.015041332	25.6473314338	34.0615139962	413.490063515	486.434043346	9.12673743500	0.0171644816314
280.015493333	0.000992877001719	55.5007859912	0.0180177628504	0.519927662013	0.519945551436	1.87990615245	75.6679790457	75.6878757873	1434.18149753	-0.235134118046	1433.01489419	0.571946781446	0.0746745463612	0.000426800396006	2343.01563297	42.9546316681	45.2809576774	161.731818606	25.6570183092	34.0733097089	413.935584469	477.024417189	9.14513373390	0.0172053477184
280.638720000	0.00103620903223	55.4991155386	0.0180183051621	0.567091215456	0.567109886187	2.04815094549	75.6360244268	75.6651481770	1436.83120160	-0.234601361006	1406.22001232	0.573323930197	0.0745848353704	0.000444447688975	2249.98357468	42.9700457289	45.3014991919	161.450208173	25.6667382028	34.0851656861	414.380471850	467.819422209	9.16358215908	0.0172463007194
281.261946667	0.00108120132018	55.4971353621	0.0180189480678	0.614240931424	0.614260413535	2.21597327167	75.6035088885	75.6434705907	1439.44116667	-0.234074278796	1380.22041802	0.574684798991	0.0744948968629	0.000462728282536	2161.09548031	42.9854555196	45.3220350997	161.170198029	25.6764900322	34.0970811028	414.824727482	458.815229613	9.18208209917	0.0172873407688
281.885173333	0.00112790811709	55.4948509032	0.0180196898221	0.661377450141	0.661397774695	2.38337727493	75.5704451515	75.6227983908	1442.01184863	-0.233552710564	1354.98412918	0.576029764537	0.0744047311206	0.000481661170056	2076.14825975	43.0008609691	45.3425653032	160.891776281	25.6862727845	34.1090552162	415.268353068	450.008042454	9.20063295007	0.0173284680084
282.508400000	0.00117638451825	55.4922674241	0.0180205287406	0.708501384720	0.708522583791	2.55036697569	75.5368453728	75.6030892399	1444.54369450	-0.233036501096	1330.48077199	0.577359188518	0.0743143384261	0.000501265788896	1994.94962982	43.0162620047	45.3630897030	160.614931142	25.6960855177	34.1210873674	415.711350181	441.394097116	9.21923411481	0.0173696825875
283.131626667	0.00122668759673	55.4893900158	0.0180214631971	0.755613322568	0.755635429273	2.71694627688	75.5027211740	75.5843029476	1447.03714273	-0.232525500597	1306.68148502	0.578673418274	0.0742237190624	0.000521562027238	1917.31749586	43.0316585529	45.3836081982	160.339650933	25.7059273626	34.1331769836	416.153720267	432.969664730	9.23788500340	0.0174109846630
283.754853333	0.00127887585331	55.4862236058	0.0180224916207	0.802713826662	0.802736875191	2.88311896953	75.4680836692	75.5664013319	1449.49262345	-0.232019564462	1283.55882968	0.579972787432	0.0741328733132	0.000542570230920	1843.07937114	43.0470505388	45.4041206863	160.065924082	25.7157975241	34.1453235792	416.595464639	424.731052525	9.25658503263	0.0174523743997
284.378080000	0.00133300977908	55.4827729651	0.0180236124937	0.849803436771	0.849827462423	3.04888873799	75.4329434921	75.5493480902	1451.91055876	-0.231518553069	1261.08670697	0.581257616525	0.0740418014630	0.000564311210313	1772.07183151	43.0624378863	45.4246270631	159.793739117	25.7256952825	34.1575267577	417.036584475	416.674605110	9.27533362595	0.0174938519702
285.001306667	0.00138915044507	55.4790427148	0.0180248243493	0.896882670588	0.896907709780	3.21425916487	75.3973108226	75.5331086822	1454.29136292	-0.231022331564	1239.24027970	0.582528213562	0.0739505037966	0.000586806247194	1704.14000325	43.0778205181	45.4451272227	159.523084671	25.7356199946	34.1697862129	417.477080820	408.796705669	9.29413021332	0.0175354175553
285.624533333	0.00144736072278	55.4750373332	0.0180261257689	0.943952024793	0.943978115099	3.37923373567	75.3611954114	75.5176502214	1456.63544266	-0.230530769668	1217.99589998	0.583784874581	0.0738589805995	0.000610077101669	1639.13708163	43.0931983555	45.4656210577	159.253949479	25.7455710946	34.1821017299	417.916954580	401.093777108	9.31297423106	0.0175770713441
286.247760000	0.00150770561938	55.4707611608	0.0180275153806	0.991011976052	0.991039156238	3.54381584310	75.3246066049	75.5029413755	1458.94319738	-0.230043741471	1197.33104144	0.585027884169	0.0737672321578	0.000634146019077	1576.92387860	43.1085713189	45.4861084590	158.986322372	25.7555480950	34.1944731859	418.356206525	393.562283114	9.33186512170	0.0176188135339
286.870986667	0.00157025149033	55.4662184068	0.0180289918571	1.03806298195	1.03809129200	3.70800879115	75.2875533684	75.4889522746	1461.21501941	-0.229561125255	1177.22423595	0.586257515961	0.0736752587583	0.000659035736945	1517.36839740	43.1239393270	45.5065893156	158.720192283	25.7655505871	34.2069005516	418.794837281	386.198729145	9.35080233386	0.0176606443308
287.494213333	0.00163506605286	55.4614131544	0.0180305539135	1.08510548190	1.08513496305	3.87181579900	75.2500443085	75.4756544266	1463.45129424	-0.229082803306	1157.65501444	0.587474033110	0.0735830606883	0.000684769491926	1460.34543272	43.1393022974	45.5270635151	158.455548239	25.7755782420	34.2193838912	419.232847338	378.999663354	9.36978532211	0.0177025639495
288.117440000	0.00170221896681	55.4563493654	0.0180322003061	1.13213989793	1.13217059269	4.03524000457	75.2120876946	75.4630206386	1465.65240073	-0.228608661744	1138.60385150	0.588677688739	0.0734906382357	0.000711371026779	1405.73619441	43.1546601466	45.5475309431	158.192379365	25.7856308105	34.2319233632	419.670237042	371.961677440	9.38881354683	0.0177445726134
288.740666667	0.00177178156508	55.4510308858	0.0180339298301	1.17916663553	1.17919858771	4.19828446801	75.1736914796	75.4510249451	1467.81871132	-0.228138590354	1120.05211356	0.589868726366	0.0733979916892	0.000738864597338	1353.42795365	43.1700127896	45.5679914836	157.930674880	25.7957081235	34.2445192207	420.107006598	365.081407426	9.40788647410	0.0177866705552
289.363893333	0.00184382690620	55.4454614500	0.0180357413186	1.22618608433	1.22621933912	4.36095217494	75.1348633196	75.4396425405	1469.95059225	-0.227672482426	1101.98201030	0.591047380318	0.0733051213379	0.000767274979503	1303.31370984	43.1853601400	45.5884450189	157.670424095	25.8058100920	34.2571718114	420.543156067	358.355534379	9.42700357558	0.0178288580163
